,ID,User,Created At,Fav Count,GEO,RE Count,Text
884,986717222738546689,ILLAHUMBERT3032,2018-04-18 21:24:52,0,,14184,"RT @realDonaldTrump: Today’s Court decision means that Congress must close loopholes that block the removal of dangerous criminal aliens, i…"
885,986717219643101184,Mark84291341,2018-04-18 21:24:52,0,,1,"RT @ansleyjag594: @jayMAGA45 @KGHASKINS1 @Comey @HillaryClinton @TheJusticeDept Why is DOJ, FBI and congress NOT doing their jobs? What are…"
886,986717219642998785,leech11,2018-04-18 21:24:52,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
887,986717219265576960,SmithsCoffeepot,2018-04-18 21:24:52,0,,44,RT @Barnett20Todd: DEADLINE PASSES for DOJ to Turn Over Unredacted Comey Memos to Congress (Video) https://t.co/7xZ6WuRk7o
888,986717218732900353,KevinPaz822,2018-04-18 21:24:51,0,,1,RT @blueskiesatx: @BreakingNLive I wonder who the 11 members of congress are
889,986717218560925702,FlorenciaValleM,2018-04-18 21:24:51,0,,740,"RT @SenGillibrand: The second largest blackout in world history, on U.S. soil. Our fellow Americans in Puerto Rico are facing a crisis, and…"
890,986717217776721920,mighunglow,2018-04-18 21:24:51,0,,740,"RT @SenGillibrand: The second largest blackout in world history, on U.S. soil. Our fellow Americans in Puerto Rico are facing a crisis, and…"
891,986717215893348352,krizzy52,2018-04-18 21:24:51,0,,0,@TroyCoby That is incorrect! He simply asked for congress to clarify and be precise
892,986717215289376768,TheJNetworks,2018-04-18 21:24:51,0,,0,"BREAKING: Members Of Congress Call For Criminal Investigation Into Comey, Hillary, Lynch -  - See More @ https://t.co/UjvOW503oJ"
893,986717214920335360,udaygour,2018-04-18 21:24:51,1,,0,@rachitseth Congress IT Cell after #CentralHallWestminster #PMInLondon 😂😂😂 https://t.co/c7l7C83HOs
894,986717212177248256,polishprincessh,2018-04-18 21:24:50,0,,933,"RT @SandraTXAS: If paying hookers and porn stars with private money warrants FBI raid

What does members of congress paying off harassment…"
895,986717210004672512,llopineiv,2018-04-18 21:24:49,0,,2,RT @quelots: @vegueriaroureda @boixserra Ja tardeu en fer un mobile world congress a St. Esteve de les Roures 😁
896,986717209148899328,yayblynn,2018-04-18 21:24:49,0,,19429,"RT @RepAdamSchiff: When the dark chapter of the Trump presidency is written in the history books, the harshest criticism will be reserved f…"
